ID,day,customer,waitingtime,line,drinks,cost,number
20001,10,man,65,아이스 아메리카노 10잔 가능할까요? 저희 동아리 회식이 있어서요,ice_americano,20000,10
20002,9,oldman,40,시원한 커피 줘. 두 잔!,ice_americano,4000,2
20003,10,kids,30,아메리카노. 쪼코로 바꿔주세요,abnormal_americano,2000,1
20004,14,women,40,"커피, 딸기, 아이스크림을 넣은 밀크 쉐이크 부탁드립니다.",abnormal_milk_shake,3000,1
20005,15,man,60,카페 라떼 10잔 주세요. 저희 동아리 회식이 있어서 되도록 빨리 부탁합니다.,caffelatte,20000,10
20006,20,oldman,40,허니 밀크인지 뭔지 하나 줘 봐.,honey_milk,5000,2
20007,22,kids,30,아포가토. 쪼코로 바꿔주세요. 바닐라 시럽두 넣어서요!,abnormal_affogato,3000,1
20008,23,women,40,"딸기,  파인애플, 우유, 아이스크림 넣은 애플 에이드 한 잔이요~",abnormal_apple_ade,2000,1
20009,24,man,60,안녕하세요? 저는 커피 동호회 회원인데요. 에스프레소 15잔 부탁드립니다. ,espresso,22500,15
20010,26,oldman,40,체리 에이든지 뭐시긴지 줘 봐. 두 개,cherry_ade,4000,2
20011,27,kids,30,커피 프라페 쪼꼬로 바꿔주세요!,abnormal_coffee_frappe,3000,1
20012,28,women,40,레몬 크림 사워를 우유랑 파인애플만 넣어서 만들어주실 수 있죠?,abnormal_lemoncreamsour,3000,1
20013,30,man,60,안녕하세요? 저는 밀크 초코 동호회 회장인데요. 밀크 초코 15잔 부탁드립니다.,milk_choco,30000,15
20014,33,oldman,40,딸기 주스 하나가 뭐 이리 비싸? 두개 줘봐,strawberry_ade,4000,2
20015,35,women,40,딸기 주스 주문할 건데요. 레몬이랑 소다랑 아이스크림이랑 파인애플 넣어서 만들어 주세요. 딸기는 빼주세요!,abnormal_strawberry_juice,2000,1
20016,36,women,40,아메리카노를에 초콜렛이랑 물만 넣어서 만들어 주세요. 절대로 샷 넣으시면 안돼요,abnormal_americano,1500,1
20017,37,man,60,저는 오렌지 동호회 회장입니다! 저희 회원들을 위해 오렌지 에이드 15잔을 만들어 주세요,orange_ade,30000,15
20018,40,oldman,40,오렌지 에이드 시원한 걸로 줘!,ice_orange_ade,5000,2
20019,42,women,40,"아이스크림 라떼 주세요. 오렌지, 아이스크림, 꿀, 파인애플 넣어서요. 다른 건 들어가면 안되고요!",abnormal_icecream_latte,3500,1
20020,44,man,60,저는 <아침 좋아> 동호회 회장인데요. 아침 주스 10잔으로 저희의 아침을 든든히 만들어 주세요.,morning_fruits,20000,10
20021,45,man,60,저는 <벚꽃 좋아> 동아리 회원입니다. 체리블러썸 10잔을 부탁드려요.,cherry_blossom,35000,10
20022,47,oldman,40,포도 딸기 주슨가 뭔가 두 잔 줘. 빨리 줘야 돼. 영감들이랑 약속 있으니까.,grape_strawberry_juice,5000,2
20023,49,women,40,"포도 에이드 있죠? 사과, 물, 파인애플, 얼음만 넣고 만들어주세요. ",abnormal_grape_ade,2000,1
20024,60,man,60,저는 <아이셔잉> 동아리 회장입니다. 레몬 티 10잔 주세요!,lemon_tea,20000,10
20025,52,oldman,40,딸기 프라페는 뭔 음료여?,strawberry_frappe,4000,2
20026,54,women,40,"허니 밀크 라떼 주세요. 체리, 파인애플, 소다, 아이스크림 넣어서요.",abnormal_honey_milk_latte,3000,1
20027,55,man,60,저는 <사과 좋아> & <소다 좋아> 동아리 회장인데요. 모두가 좋아하는 애플 소다 15잔이요!,apple_soda,52500,15
20028,57,oldman,40,체리 베리 뭐시긴가 따뜻하게 두 개.,cherry_berry_ade,6000,2
20029,59,women,40,"애플 티 주세요. 바나나, 우유, 커피, 사과 넣어서요.",abnormal_apple_tea,2000,1
20030,58,man,60,신 것으로 가득찬 세상은 정말 아름답지 않나요? 사우어 파라다이스 10잔을 만들어주세요.,sour_paradise,40000,10
20031,3,man,60,"저, 여친, 여친 동생, 여친 형, 여친 누나까지 총 5잔의 아이스 아메리카노 주세요.",ice_americano,10000,5
20032,4,man,60,<아이 러브 에스프레소> 동호회 회장입니다. 에스프레소 5잔 주세요!,espresso,7500,5
20033,3,man,60,<위 러브 에스프레소> 동아리 부장입니다. 에스프레소 5잔 부탁해요.,espresso,7500,5
20034,4,man,60,"저, 저희 형, 저희 누나, 저희 동생, 저희 고슴도치 몫까지 5잔의 아메리카노 주세요.",americano,7500,5
20035,5,man,60,카페 라떼라면 5잔도 마실 수 있어! 5잔 주세요.,caffelatte,10000,5
